District,State,Population,Sex-Ratio,Confirmed,Active,Recovered,Deceased,Death Rate,age frac,Rank Number,Actual Number
Sivaganga,Tamil Nadu,"1,339,101",1003,6476,44,6306,126,0.019456455,0.089,2318.820093,119179.989
Dakshin Dinajpur,West Bengal,"1,676,276",956,8050,89,7889,72,0.008944099,0.071,1064.487273,119015.596
Jalaun,Uttar Pradesh,"1,689,974",865,3858,115,3698,45,0.011664075,0.07,1379.838844,118298.18
Jamui,Bihar,"1,760,405",922,3132,27,3095,10,0.003192848,0.067,376.5872741,117947.135
Idukki,Kerala,"1,108,974",1006,15557,2985,12554,16,0.001028476,0.106,120.8986332,117551.244
Kannauj,Uttar Pradesh,"1,656,616",879,3432,41,3344,47,0.013694639,0.07,1588.073066,115963.12
Wardha,Maharashtra,"1,300,774",946,9247,483,8515,245,0.026495079,0.089,3067.30578,115768.886
West Tripura,Tripura,"1,725,739",962,11559,85,11273,190,0.016437408,0.067,1900.567295,115624.513
Gautam Buddha Nagar,Uttar Pradesh,"1,648,115",851,24716,542,24085,89,0.003600906,0.07,415.4295035,115368.05
Rajnandgaon,Chhattisgarh,"1,537,133",1015,17795,1232,16402,161,0.009047485,0.075,1043.039082,115284.975
Koraput,Odisha,"1,379,647",1032,7848,48,7784,16,0.002038736,0.083,233.4570885,114510.701
Karnal,Haryana,"1,505,324",887,10639,265,10229,145,0.0136291,0.076,1559.232061,114404.624
Buxar,Bihar,"1,706,352",922,3956,49,3890,17,0.00429727,0.067,491.2879024,114325.584
Uttara Kannada,Karnataka,"1,437,169",979,14161,100,13886,175,0.012357884,0.079,1403.069055,113536.351
Betul,Madhya Pradesh,"1,575,362",971,3136,80,2989,67,0.021364796,0.072,2423.324718,113426.064
Kishanganj,Bihar,"1,690,400",950,4256,116,4127,13,0.003054511,0.067,345.9441414,113256.8
Dewas,Madhya Pradesh,"1,563,715",942,2683,105,2552,26,0.009690645,0.072,1091.0453,112587.48
Thiruvarur,Tamil Nadu,"1,264,277",1017,10844,111,10624,109,0.010051641,0.089,1131.017209,112520.653
Raigarh,Chhattisgarh,"1,493,984",991,20825,381,20168,276,0.013253301,0.075,1485.016473,112048.8
Kaushambi,Uttar Pradesh,"1,599,596",908,2245,21,2198,26,0.011581292,0.07,1296.777185,111971.72
Khagaria,Bihar,"1,666,886",886,3049,29,3008,12,0.003935717,0.067,439.546235,111681.362
Rajgarh,Madhya Pradesh,"1,545,814",956,2220,106,2055,59,0.026576577,0.072,2957.936026,111298.608
Dausa,Rajasthan,"1,634,409",905,2369,109,2237,23,0.009708738,0.068,1079.027316,111139.812
Theni,Tamil Nadu,"1,245,899",991,16827,77,16547,203,0.012063945,0.089,1337.710674,110885.011
Etawah,Uttar Pradesh,"1,581,810",870,5667,137,5427,103,0.018175401,0.07,2012.502174,110726.7
Hamirpur,Himachal Pradesh,"1,104,285",861,2717,219,2454,43,0.015826279,0.1,1747.672251,110428.5
Sonipat,Haryana,"1,450,001",856,14393,275,14040,78,0.005419301,0.076,597.2073821,110200.076
Koppal,Karnataka,"1,389,920",986,13849,94,13476,279,0.020145859,0.079,2212.089455,109803.68
Kaimur,Bihar,"1,626,384",920,2030,33,1987,10,0.004926108,0.067,536.7867966,108967.728
Shajapur,Madhya Pradesh,"1,512,681",938,1649,68,1559,22,0.013341419,0.072,1453.054394,108913.032
Bharuch,Gujarat,"1,551,019",925,3756,131,3607,18,0.004792332,0.07,520.309859,108571.33
Cachar,Assam,"1,736,617",959,6216,4678,1498,40,0.006435006,0.062,692.8587305,107670.254
Hazaribagh,Jharkhand,"1,734,495",947,4335,68,4232,35,0.008073818,0.062,868.247811,107538.69
Jammu,Jammu and Kashmir,"1,529,958",880,23243,851,22042,350,0.015058297,0.07,1612.699337,107097.06
Bhandara,Maharashtra,"1,200,334",982,12457,635,11559,261,0.020952075,0.089,2238.304431,106829.726
Washim,Maharashtra,"1,197,160",930,6732,240,6342,148,0.021984551,0.089,2342.393232,106547.24
Amreli,Gujarat,"1,514,190",964,3715,162,3521,32,0.008613728,0.07,912.997456,105993.3
Bastar,Chhattisgarh,"1,413,199",1023,7531,161,7287,83,0.011021113,0.075,1168.12694,105989.925
Vidisha,Madhya Pradesh,"1,458,875",896,3383,121,3202,60,0.017735738,0.072,1862.944184,105039
Barpeta,Assam,"1,693,622",953,1121,84,1024,13,0.011596789,0.062,1217.715773,105004.564
Hingoli,Maharashtra,"1,177,345",942,4141,77,3969,95,0.022941319,0.089,2403.876402,104783.705
Ratlam,Madhya Pradesh,"1,455,069",971,4229,263,3891,75,0.017734689,0.072,1857.974126,104764.968
Tikamgarh,Madhya Pradesh,"1,445,166",901,1236,47,1162,27,0.02184466,0.072,2272.979514,104051.952
Tarn Taran,Punjab,"1,119,627",900,2095,11,1981,103,0.049164678,0.092,5064.241286,103005.684
Jind,Haryana,"1,334,152",871,4631,182,4361,88,0.019002375,0.076,1926.756302,101395.552
Nabarangapur,Odisha,"1,220,946",1019,5792,34,5743,15,0.002589779,0.083,262.4443658,101338.518
Mandi,Himachal Pradesh,"999,777",1007,9397,1076,8206,115,0.012237948,0.1,1223.521894,99977.7
Barwani,Madhya Pradesh,"1,385,881",982,2648,118,2508,22,0.008308157,0.072,829.0164191,99783.432
Seoni,Madhya Pradesh,"1,379,131",982,1465,41,1414,10,0.006825939,0.072,677.7982137,99297.432
Karauli,Rajasthan,"1,458,248",861,1484,55,1409,20,0.013477089,0.068,1336.399789,99160.864
Chikkaballapura,Karnataka,"1,255,104",972,12803,204,12482,116,0.009060376,0.079,898.3654186,99153.216
Dhenkanal,Odisha,"1,192,811",947,5688,12,5648,28,0.004922644,0.083,487.3580647,99003.313
Sirsa,Haryana,"1,295,189",897,7892,93,7687,112,0.014191586,0.076,1396.939742,98434.364
Gandhinagar,Gujarat,"1,391,753",923,7921,325,7492,104,0.013129655,0.07,1279.126571,97422.71
Tonk,Rajasthan,"1,421,326",952,3335,231,3070,34,0.010194903,0.068,985.3390877,96650.168
Auraiya,Uttar Pradesh,"1,379,545",864,3448,106,3296,46,0.013341067,0.07,1288.322159,96568.15
Mandsaur,Madhya Pradesh,"1,340,411",963,2556,110,2413,33,0.012910798,0.072,1246.015847,96509.592
Jhalawar,Rajasthan,"1,411,129",946,3313,129,3162,22,0.006640507,0.068,637.2016162,95956.772
Raisen,Madhya Pradesh,"1,331,597",901,2302,52,2208,42,0.018245004,0.072,1749.239467,95874.984
Gadchiroli,Maharashtra,"1,072,942",982,8380,263,8026,85,0.010143198,0.089,968.5926202,95491.838
Karur,Tamil Nadu,"1,064,493",1015,5096,85,4962,49,0.009615385,0.089,910.9603922,94739.877
Dungarpur,Rajasthan,"1,388,552",994,4500,486,3980,34,0.007555556,0.068,713.4072029,94421.536
Sehore,Madhya Pradesh,"1,311,332",918,2614,84,2482,48,0.018362663,0.072,1733.727427,94415.904
Kamrup,Assam,"1,517,542",949,4590,2482,2074,34,0.007407407,0.062,696.9451765,94087.604
Patan,Gujarat,"1,343,734",935,4111,87,3972,52,0.012648991,0.07,1189.781549,94061.38
Navsari,Gujarat,"1,329,672",961,1555,23,1524,8,0.005144695,0.07,478.8529823,93077.04
Katni,Madhya Pradesh,"1,292,042",952,2080,57,2006,17,0.008173077,0.072,760.3170302,93027.024
Udupi,Karnataka,"1,177,361",1094,22990,74,22728,188,0.008177468,0.079,760.5987203,93011.519
Yadgir,Karnataka,"1,174,271",989,10567,39,10467,61,0.005772689,0.079,535.5174015,92767.409
Deoghar,Jharkhand,"1,492,073",925,3584,19,3542,23,0.006417411,0.062,593.6652323,92508.526
Yamunanagar,Haryana,"1,214,205",877,6301,194,5973,134,0.021266466,0.076,1962.460551,92279.58
Munger,Bihar,"1,367,765",876,4132,64,4018,50,0.012100678,0.067,1108.909218,91640.255
Panipat,Haryana,"1,205,437",864,10409,315,9949,145,0.013930253,0.076,1276.195221,91613.212
Moga,Punjab,"995,746",893,2728,34,2603,91,0.033357771,0.092,3055.859768,91608.632
Baghpat,Uttar Pradesh,"1,303,048",861,2246,133,2079,34,0.015138023,0.07,1380.789942,91213.36
Damoh,Madhya Pradesh,"1,264,219",910,2585,144,2367,74,0.028626692,0.072,2605.709371,91023.768
Sawai Madhopur,Rajasthan,"1,335,551",897,2046,183,1838,25,0.012218964,0.068,1109.695372,90817.468
Korba,Chhattisgarh,"1,206,640",969,15647,71,15473,103,0.006582732,0.075,595.7240805,90498
Guna,Madhya Pradesh,"1,241,519",912,1410,82,1305,23,0.016312057,0.072,1458.124466,89389.368
Hoshangabad,Madhya Pradesh,"1,241,350",914,3513,55,3399,59,0.016794762,0.072,1501.068802,89377.2
Wayanad,Kerala,"817,420",1035,15565,2529,12987,48,0.003083842,0.106,267.2041775,86646.52
Srinagar,Jammu and Kashmir,"1,236,829",900,24931,639,23848,444,0.017809153,0.07,1541.881383,86578.03
Sambalpur,Odisha,"1,041,099",976,9193,180,8937,76,0.00826716,0.083,714.3753567,86411.217
Ambala,Haryana,"1,128,350",885,11338,241,10956,141,0.012436056,0.076,1066.449008,85754.6
Ramanagara,Karnataka,"1,082,636",976,7364,52,7236,76,0.010320478,0.079,882.6923606,85528.244
Lalitpur,Uttar Pradesh,"1,221,592",906,3268,79,3143,46,0.014075887,0.07,1203.649367,85511.44
Singrauli,Madhya Pradesh,"1,178,273",920,1834,81,1727,26,0.014176663,0.072,1202.686505,84835.656
Gadag,Karnataka,"1,064,570",982,10885,37,10707,141,0.012953606,0.079,1089.411607,84101.03
Nainital,Uttarakhand,"954,605",934,10755,1030,9469,200,0.018596002,0.088,1562.161611,84005.24
Baran,Rajasthan,"1,222,755",929,2322,220,2069,33,0.014211886,0.068,1181.680517,83147.34
Tinsukia,Assam,"1,327,929",952,3366,1526,1798,42,0.012477718,0.062,1027.310462,82331.598
Dibrugarh,Assam,"1,326,335",961,9486,6975,2409,102,0.010752688,0.062,884.2233192,82232.77
Garhwa,Jharkhand,"1,322,784",935,2781,37,2732,12,0.004314995,0.062,353.8839935,82012.608
Dumka,Jharkhand,"1,321,442",977,1369,15,1340,14,0.010226443,0.062,837.84638,81929.404
North Goa,Goa,"818,008",963,2668,1639,964,65,0.024362819,0.1,1992.898084,81800.8
Kaithal,Haryana,"1,074,304",881,3724,52,3624,48,0.012889366,0.076,1052.379406,81647.104
Godda,Jharkhand,"1,313,551",938,2069,9,2050,10,0.004833253,0.062,393.6209073,81440.162
Shimla,Himachal Pradesh,"814,010",915,9856,704,8873,241,0.02445211,0.1,1990.426206,81401
Sidhi,Madhya Pradesh,"1,127,033",957,1919,66,1840,13,0.006774362,0.072,549.714926,81146.376
Rohtak,Haryana,"1,061,204",867,11978,192,11642,144,0.01202204,0.076,969.5956071,80651.504
Rayagada,Odisha,"967,911",1051,8355,22,8289,44,0.005266308,0.083,423.0773477,80336.613
Nayagarh,Odisha,"962,789",915,6423,2,6375,46,0.007161762,0.083,572.307051,79911.487
Palwal,Haryana,"1,042,708",880,4333,34,4275,24,0.005538888,0.076,438.933655,79245.808
Rajsamand,Rajasthan,"1,156,597",990,3700,354,3306,40,0.010810811,0.068,850.2551068,78648.596
Shrawasti,Uttar Pradesh,"1,117,361",881,1276,27,1231,18,0.014106583,0.07,1103.350198,78215.27
Kamrup Metropolitan,Assam,"1,253,938",936,50003,34484,15370,149,0.002979821,0.062,231.6636687,77744.156
Mahasamund,Chhattisgarh,"1,032,754",1017,7622,407,7101,114,0.014956704,0.075,1158.494691,77456.55
Hamirpur,Uttar Pradesh,"1,104,285",861,1551,19,1511,21,0.013539652,0.07,1046.614423,77299.95
Shahdol,Madhya Pradesh,"1,066,063",974,2893,70,2793,30,0.010369858,0.072,795.9543789,76756.536
Karimganj,Assam,"1,228,686",963,1200,219,955,26,0.021666667,0.062,1650.534885,76178.532
Puducherry,Puducherry,"950,289",1029,30332,188,29629,515,0.016978768,0.08,1290.778917,76023.12
Mandla,Madhya Pradesh,"1,054,905",1008,1172,35,1127,10,0.008532423,0.072,648.0644893,75953.16
Sindhudurg,Maharashtra,"849,651",1036,5951,403,5393,154,0.025878004,0.089,1956.867206,75618.939
Bundi,Rajasthan,"1,110,906",925,2763,259,2487,17,0.006152733,0.068,464.7873444,75541.608
Anantnag,Jammu and Kashmir,"1,078,692",927,4752,108,4561,83,0.01746633,0.07,1318.855331,75508.44
Jehanabad,Bihar,"1,125,313",922,4405,99,4287,19,0.00431328,0.067,325.2039338,75395.971
Kapurthala,Punjab,"815,168",912,4664,103,4367,194,0.041595197,0.092,3119.450766,74995.456
Jhabua,Madhya Pradesh,"1,025,048",990,2284,99,2159,26,0.011383538,0.072,840.1444459,73803.456
Kurukshetra,Haryana,"964,655",888,8479,211,8147,121,0.014270551,0.076,1046.228036,73313.78
Panna,Madhya Pradesh,"1,016,520",905,1003,41,958,4,0.003988036,0.072,291.8821215,73189.44
Jhajjar,Haryana,"958,405",862,5762,131,5545,86,0.014925373,0.076,1087.14596,72838.78
Fatehabad,Haryana,"942,011",902,4633,111,4407,115,0.02482193,0.076,1777.072364,71592.836
Sivasagar,Assam,"1,151,050",954,529,22,473,34,0.064272212,0.062,4586.792837,71365.1
Sahibganj,Jharkhand,"1,150,567",952,1629,24,1596,9,0.005524862,0.062,394.1168816,71335.154
Mansa,Punjab,"769,751",883,2377,44,2282,51,0.021455616,0.092,1519.424332,70817.092
Sirohi,Rajasthan,"1,036,346",940,3541,133,3381,27,0.007624965,0.068,537.3429345,70471.528
Mahendragarh,Haryana,"922,088",895,6557,57,6481,19,0.002897667,0.076,203.0647016,70078.688
Chitrakoot,Uttar Pradesh,"991,730",879,2121,48,2060,13,0.006129184,0.07,425.4946954,69421.1
Rewari,Haryana,"900,332",898,11249,205,10971,73,0.006489466,0.076,444.0432166,68425.232
Jorhat,Assam,"1,092,256",962,8771,6965,1752,54,0.006156653,0.062,416.9277531,67719.872
Ariyalur,Tamil Nadu,"754,894",1015,4625,10,4567,48,0.010378378,0.089,697.2772001,67185.566
Lakhisarai,Bihar,"1,000,912",902,3663,108,3546,9,0.002457002,0.067,164.7692667,67061.104
Golaghat,Assam,"1,066,888",964,3803,2101,1656,46,0.012095714,0.062,800.0958713,66147.056
Chatra,Jharkhand,"1,042,886",953,1397,23,1363,11,0.007874016,0.062,509.1254651,64658.932
Lakhimpur,Assam,"1,042,137",968,3006,1847,1135,24,0.007984032,0.062,515.8682197,64612.494
South Goa,Goa,"640,537",986,3511,1978,1407,126,0.035887212,0.1,2298.708711,64053.7
Jashpur,Chhattisgarh,"851,669",1005,3229,271,2937,21,0.006503561,0.075,415.416097,63875.175
Gumla,Jharkhand,"1,025,213",993,2247,33,2210,4,0.001780151,0.062,113.1521047,63563.206
Rupnagar,Punjab,"684,627",915,3291,201,2930,160,0.048617442,0.092,3062.202839,62985.684
Goalpara,Assam,"1,008,183",964,658,38,568,10,0.015197568,0.062,949.9596413,62507.346
Mahoba,Uttar Pradesh,"875,958",878,1442,41,1390,11,0.007628294,0.07,467.7445609,61317.06
Kupwara,Jammu and Kashmir,"870,354",835,5476,144,5242,90,0.016435354,0.07,1001.320327,60924.78
Kandhamal,Odisha,"733,110",1037,5921,7,5881,33,0.005573383,0.083,339.1299333,60848.13
Ashoknagar,Madhya Pradesh,"845,071",904,1068,62,990,16,0.014981273,0.072,911.5372336,60845.112
Pratapgarh,Uttar Pradesh,"867,848",983,5225,181,4978,66,0.012631579,0.07,767.36034,60749.36
Pauri Garhwal,Uttarakhand,"687,271",1103,4910,209,4620,57,0.011608961,0.088,702.1081967,60479.848
Dhamtari,Chhattisgarh,"799,781",1010,7573,534,6934,105,0.013865047,0.075,831.6750866,59983.575
Neemuch,Madhya Pradesh,"826,067",954,2857,95,2725,37,0.012950648,0.072,770.2634118,59476.824
Morigaon,Assam,"957,423",967,638,72,557,9,0.014106583,0.062,837.369955,59360.226
Karbi Anglong,Assam,"956,313",951,632,69,552,11,0.017405063,0.062,1031.970657,59291.406
Pratapgarh,Rajasthan,"867,848",983,1164,88,1057,19,0.016323024,0.068,963.2814538,59013.664
Baksa,Assam,"950,075",974,687,233,447,7,0.010189229,0.062,600.192968,58904.65
Ramgarh,Jharkhand,"949,443",921,4406,70,4309,27,0.006128007,0.062,360.7279877,58865.466
South Tripura,Tripura,"876,001",957,4041,28,3987,23,0.00569166,0.067,334.0552901,58692.067
Solan,Himachal Pradesh,"580,320",880,6205,850,5289,66,0.010636583,0.1,617.2621847,58032
Darrang,Assam,"928,500",954,1967,219,1730,18,0.009150991,0.062,526.7950989,57567
Faridkot,Punjab,"617,508",890,3838,73,3692,73,0.019020323,0.092,1080.558549,56810.736
Datia,Madhya Pradesh,"786,754",873,1798,51,1727,20,0.011123471,0.072,630.1033418,56646.288
Tapi,Gujarat,"807,022",1007,1021,14,1001,6,0.005876592,0.07,331.977732,56491.54
Shahid Bhagat Singh Nagar,Punjab,"612,310",954,2337,66,2190,81,0.03465982,0.092,1952.475003,56332.52
Fatehgarh Sahib,Punjab,"600,163",871,2482,35,2336,111,0.044721998,0.092,2469.324941,55214.996
Kokrajhar,Assam,"887,142",959,408,43,353,12,0.029411765,0.062,1617.729546,55002.804
Barnala,Punjab,"595,527",876,2262,43,2155,64,0.028293546,0.092,1550.160492,54788.484
Almora,Uttarakhand,"622,506",1139,3021,317,2598,22,0.007282357,0.088,398.9313615,54780.528
Burhanpur,Madhya Pradesh,"757,847",951,841,7,807,27,0.032104637,0.072,1751.789004,54564.984
Tehri Garhwal,Uttarakhand,"618,931",1077,4053,278,3650,16,0.003947693,0.088,215.0147627,54465.928
Anuppur,Madhya Pradesh,"749,237",976,1979,17,1948,14,0.00707428,0.072,381.6224874,53945.064
Sirmaur,Himachal Pradesh,"529,855",918,3117,188,2902,27,0.008662175,0.1,458.9696735,52985.5
Alirajpur,Madhya Pradesh,"728,999",1011,1221,53,1155,13,0.010647011,0.072,558.8395468,52487.928
Una,Himachal Pradesh,"521,173",976,2642,167,2441,34,0.012869039,0.1,670.6995663,52117.3
Chamba,Himachal Pradesh,"519,080",986,2767,196,2519,49,0.01770871,0.1,919.2237187,51908
Imphal West,Manipur,"517,992",1031,8426,8283,52,91,0.010799905,0.1,559.4264391,51799.2
Udalguri,Assam,"831,668",973,758,84,666,8,0.01055409,0.062,544.2049332,51563.416
Malkangiri,Odisha,"613,192",1020,5218,22,5169,27,0.005174396,0.083,263.3505533,50894.936
Dindori,Madhya Pradesh,"704,524",1002,942,21,920,1,0.001061571,0.072,53.8489618,50725.728
Nuapada,Odisha,"610,382",1021,7246,86,7134,26,0.003588187,0.083,181.7836749,50661.706
Subarnapur,Odisha,"610,183",960,4683,1,4661,21,0.004484305,0.083,227.1084743,50645.189
Perambalur,Tamil Nadu,"565,223",1003,2253,2,2230,21,0.009320905,0.089,468.8866999,50304.847
Sheopur,Madhya Pradesh,"687,861",901,1378,53,1311,14,0.010159652,0.072,503.1668437,49525.992
Jamtara,Jharkhand,"791,042",954,1240,13,1223,4,0.003225806,0.062,158.2083779,49044.604
Jharsuguda,Odisha,"579,505",953,7413,71,7316,26,0.003507352,0.083,168.6998257,48098.915
Gajapati,Odisha,"577,817",1043,3975,12,3930,33,0.008301887,0.083,398.1486296,47958.811
Senapati,Manipur,"479,148",937,471,449,21,1,0.002123142,0.1,101.7299243,47914.8
Nalbari,Assam,"771,639",949,948,104,828,16,0.016877637,0.062,807.4534621,47841.618
Arwal,Bihar,"700,843",928,2269,37,2221,11,0.004847951,0.067,227.642719,46956.481
North Tripura,Tripura,"693,947",967,2751,29,2700,15,0.005452563,0.067,253.5139123,46494.449
Chandigarh,Chandigarh,"1,055,450",818,19309,361,18634,314,0.016261847,0.044,755.1969223,46439.8
Umaria,Madhya Pradesh,"644,758",950,1199,33,1150,16,0.013344454,0.072,619.48393,46422.576
Bongaigaon,Assam,"738,804",966,1303,463,834,6,0.004604758,0.062,210.924845,45805.848
Imphal East,Manipur,"456,113",1017,5366,5146,150,70,0.013045099,0.1,595.003924,45611.3
Jaisalmer,Rajasthan,"669,919",852,2104,170,1909,25,0.011882129,0.068,541.2843505,45554.492
Hamirpur,Himachal Pradesh,"454,768",1095,2717,219,2454,43,0.015826279,0.1,719.7285248,45476.8
Latehar,Jharkhand,"726,978",967,1867,12,1849,6,0.003213712,0.062,144.8504712,45072.636
Rajouri,Jammu and Kashmir,"642,415",860,3805,219,3532,54,0.014191853,0.07,638.1941471,44969.05
Sheohar,Bihar,"656,246",893,1422,37,1384,1,0.000703235,0.067,30.92017544,43968.482
Kodagu,Karnataka,"554,519",1019,5656,114,5472,70,0.012376238,0.079,542.1658704,43807.001
Kullu,Himachal Pradesh,"437,903",942,4320,213,4023,82,0.018981481,0.1,831.2047474,43790.3
Kathua,Jammu and Kashmir,"616,435",890,3132,75,3009,48,0.01532567,0.07,661.3095571,43150.45
Panchkula,Haryana,"561,293",873,9826,261,9425,140,0.014247914,0.076,607.7913339,42658.268
Sheikhpura,Bihar,"636,342",930,2971,6,2953,12,0.004039044,0.067,172.2042936,42634.914
Pithoragarh,Uttarakhand,"483,439",1020,3060,353,2676,31,0.010130719,0.088,430.9874503,42542.632
Dhemaji,Assam,"686,133",953,765,317,440,8,0.010457516,0.062,444.8653032,42540.246
Thoubal,Manipur,"422,168",1002,2255,2192,23,40,0.017738359,0.1,748.8567542,42216.8
Narmada,Gujarat,"590,297",961,1908,59,1848,1,0.000524109,0.07,21.65659793,41320.79
East Khasi Hills,Meghalaya,"825,922",1011,8216,204,7903,109,0.013266796,0.05,547.8669343,41296.1
Harda,Madhya Pradesh,"570,465",935,1997,53,1912,32,0.016024036,0.072,658.1629222,41073.48
Porbandar,Gujarat,"585,449",950,686,8,674,4,0.005830904,0.07,238.9587841,40981.43
Hailakandi,Assam,"659,296",951,1632,509,1116,7,0.004289216,0.062,175.327503,40876.352
Pulwama,Jammu and Kashmir,"560,440",912,5471,181,5202,88,0.016084811,0.07,631.0200034,39230.8
Udhampur,Jammu and Kashmir,"554,985",870,4054,116,3881,57,0.014060187,0.07,546.2235018,38848.95
Bilaspur,Himachal Pradesh,"381,956",981,2779,236,2519,23,0.008276358,0.1,316.1204596,38195.6
Simdega,Jharkhand,"599,578",997,2008,12,1991,5,0.00249004,0.062,92.56433859,37173.836
Chamoli,Uttarakhand,"391,605",1019,3330,229,3029,14,0.004204204,0.088,144.8820831,34461.24
Punch,Jammu and Kashmir,"476,835",893,2437,30,2385,22,0.009027493,0.07,301.3237237,33378.45
Khunti,Jharkhand,"531,885",997,2104,26,2073,5,0.002376426,0.062,78.36709127,32976.87
West Garo Hills,Meghalaya,"643,291",984,1704,21,1667,16,0.009389671,0.05,302.0145424,32164.55
Hamirpur,Uttar Pradesh,"454,768",1095,1551,19,1511,21,0.013539652,0.07,431.0180323,31833.76
Chirang,Assam,"482,162",969,280,53,219,8,0.028571429,0.062,854.1155557,29894.044
Kulgam,Jammu and Kashmir,"424,483",951,2650,70,2527,53,0.02,0.07,594.2762,29713.81
Uttarkashi,Uttarakhand,"330,086",958,3498,274,3126,13,0.003716409,0.088,107.9526431,29047.568
Doda,Jammu and Kashmir,"409,936",919,3356,90,3205,61,0.0181764,0.07,521.5812497,28695.52
Bilaspur,Chhattisgarh,"381,956",981,17417,303,16927,187,0.010736637,0.075,307.5692191,28646.7
Lohardaga,Jharkhand,"461,790",985,1761,35,1716,10,0.005678592,0.062,162.583654,28630.98
Bandipora,Jammu and Kashmir,"392,232",889,4623,79,4485,59,0.012762276,0.07,350.4041128,27456.24
Churachandpur,Manipur,"274,143",975,1404,1322,58,24,0.017094017,0.1,468.6205102,27414.3
Dhalai,Tripura,"378,230",944,3463,12,3431,19,0.005486572,0.067,139.0374705,25341.41
Bishnupur,Manipur,"237,399",999,1261,1182,58,21,0.01665345,0.1,395.3512377,23739.9
Bageshwar,Uttarakhand,"259,898",1090,1458,151,1291,16,0.010973937,0.088,250.9851765,22871.024
Champawat,Uttarakhand,"259,648",980,1661,190,1392,8,0.004816376,0.088,110.0494908,22849.024
Aizawl,Mizoram,"400,309",1009,2726,62,2657,7,0.002567865,0.056,57.56461034,22417.304
Samba,Jammu and Kashmir,"318,898",886,2708,241,2429,38,0.014032496,0.07,313.2454437,22322.86
Reasi,Jammu and Kashmir,"314,667",890,1615,65,1536,14,0.008668731,0.07,190.9434504,22026.69
Rudraprayag,Uttarakhand,"242,285",1114,2166,115,2035,10,0.004616805,0.088,98.43526875,21321.08
Ganderbal,Jammu and Kashmir,"297,446",874,4441,108,4290,43,0.009682504,0.07,201.6015459,20821.22
Ramban,Jammu and Kashmir,"283,713",902,2083,36,2026,21,0.010081613,0.07,200.2199268,19859.91
West Khasi Hills,Meghalaya,"383,461",980,173,5,167,1,0.005780347,0.05,110.826882,19173.05
Bijapur,Chhattisgarh,"255,230",984,3969,30,3911,28,0.007054674,0.075,135.0423334,19142.25
Dimapur,Nagaland,"378,811",919,6385,111,6152,50,0.007830854,0.05,148.3206817,18940.55
Ukhrul,Manipur,"183,998",943,534,514,18,2,0.003745318,0.1,68.91310214,18399.8
Kishtwar,Jammu and Kashmir,"230,696",920,2714,56,2637,21,0.007737657,0.07,124.9532563,16148.72
Karaikal,Puducherry,"200,222",1047,3744,45,3638,61,0.016292735,0.08,260.973119,16017.76
East Garo Hills,Meghalaya,"317,917",972,338,4,333,1,0.00295858,0.05,47.02914389,15895.85
Chandel,Manipur,"144,182",933,348,335,4,9,0.025862069,0.1,372.8844833,14418.2
Tamenglong,Manipur,"140,651",943,1322,1285,32,5,0.003782148,0.1,53.19628983,14065.1
Kohima,Nagaland,"267,988",928,3703,117,3536,21,0.005671078,0.05,75.98904255,13399.4
Dima Hasao,Assam,"214,102",932,237,36,199,2,0.008438819,0.062,112.0196176,13274.324
Mon,Nagaland,"250,260",899,603,13,579,2,0.00331675,0.05,41.50249275,12513
East Sikkim,Sikkim,"283,583",873,1477,368,1106,3,0.002031144,0.04,23.03991636,11343.32
Narayanpur,Chhattisgarh,"139,820",994,1912,43,1867,2,0.001046025,0.075,10.96914116,10486.5
Tuensang,Nagaland,"196,596",929,244,3,240,1,0.004098361,0.05,40.28606896,9829.8
Mokokchung,Nagaland,"194,622",925,172,47,118,1,0.005813953,0.05,56.57615804,9731.1
Kinnaur,Himachal Pradesh,"84,121",819,1292,62,1214,16,0.012383901,0.1,104.1746136,8412.1
Changlang,Arunachal Pradesh,"148,226",926,1272,3,1265,4,0.003144654,0.05,23.30597419,7411.3
South Garo Hills,Meghalaya,"142,334",945,198,2,195,1,0.005050505,0.05,35.94292893,7116.7
West Siang,Arunachal Pradesh,"112,274",930,1029,4,1022,3,0.002915452,0.05,16.36647289,5613.7
Tirap,Arunachal Pradesh,"111,975",944,586,5,579,2,0.003412969,0.05,19.10836019,5598.75
East Siang,Arunachal Pradesh,"99,214",980,1120,18,1098,4,0.003571429,0.05,17.71678784,4960.7
Yanam,Puducherry,"55,626",1038,2092,8,2039,45,0.021510516,0.08,95.72351704,4450.08
West Kameng,Arunachal Pradesh,"83,947",819,916,10,902,4,0.004366812,0.05,18.32903835,4197.35
Upper Subansiri,Arunachal Pradesh,"83,448",998,441,1,438,2,0.004535147,0.05,18.92244734,4172.4
Kiphire,Nagaland,"74,004",956,39,4,34,1,0.025641026,0.05,94.87692441,3700.2
Serchhip,Mizoram,"64,937",977,176,4,171,1,0.005681818,0.056,20.66177207,3636.472
Mahe,Puducherry,"41,816",1184,1717,123,1586,8,0.004659289,0.08,15.58662631,3345.28
Tawang,Arunachal Pradesh,"49,977",714,465,40,423,2,0.004301075,0.05,10.74774126,2498.85
Hyderabad,Telangana,"3,943,323",954,77517,77189,305,23,0.000296709,0,0,0
Kargil,Ladakh,"140,802",810,2087,20,2024,43,0.020603737,0,0,0
Leh,Ladakh,"133,487",690,7254,226,6945,83,0.011441963,0,0,0
